base_id,lipid_class,replicate_count,pass_count,fail_count,pass_rate,avg_tic_rsd_topgroupwindow,avg_tic_rsd_windowbest,avg_summed_tic,avg_tic_time,highest_tic_per_group
20250916_124CHCl3MeOHIPA_BrainLipidEx,Cer,3,2,1,2/3,8.045,7.99,316626.6666666667,3.57,411960
20250916_124CHCl3MeOHIPA_BrainLipidEx,PC,3,3,0,3/3,2.106666666666667,2.0066666666666664,36034866.666666664,5.489999999999999,36857520
20250916_124CHCl3MeOHIPA_BrainLipidEx,PE,3,2,1,2/3,16.59,14.585,626666.6666666666,4.52,634880
20250916_124CHCl3MeOHIPA_BrainLipidEx,PS,3,3,0,3/3,6.636666666666667,6.506666666666667,650746.6666666666,4.13,673160
20250916_124CHCl3MeOHIPA_BrainLipidEx,TG,3,0,3,0/3,35.25,33.3,72413.33333333333,5.37,86560
20250916_12CHCl3MeOH_BrainLipidEx,Cer,3,3,0,3/3,11.813333333333333,11.576666666666668,244720.0,3.57,255120
20250916_12CHCl3MeOH_BrainLipidEx,PC,3,1,2,1/3,21.5,21.174999999999997,652906.6666666666,5.489999999999999,956120
20250916_12CHCl3MeOH_BrainLipidEx,PE,3,1,2,1/3,23.88,23.12,65733.33333333333,4.52,94600
20250916_12CHCl3MeOH_BrainLipidEx,PS,3,0,3,0/3,,,5240.0,4.13,11320
20250916_12CHCl3MeOH_BrainLipidEx,TG,3,0,3,0/3,37.93,37.585,33066.666666666664,5.37,39440
20250916_21MeOHACN_BrainLipidEx,Cer,3,3,0,3/3,7.826666666666667,7.6433333333333335,498213.3333333333,3.57,559560
20250916_21MeOHACN_BrainLipidEx,PC,3,3,0,3/3,5.8500000000000005,5.586666666666667,195353266.66666666,5.489999999999999,319692640
20250916_21MeOHACN_BrainLipidEx,PE,3,3,0,3/3,7.483333333333333,6.456666666666667,5320626.666666667,4.52,5884280
20250916_21MeOHACN_BrainLipidEx,PS,3,3,0,3/3,5.1499999999999995,4.819999999999999,2704386.6666666665,4.13,3199680
20250916_21MeOHACN_BrainLipidEx,TG,3,3,0,3/3,9.816666666666668,9.58,449440.0,5.37,501240
20250916_21MeOHIPA_BrainLipidEx,Cer,3,3,0,3/3,9.803333333333335,9.209999999999999,1104506.6666666667,3.57,1211200
20250916_21MeOHIPA_BrainLipidEx,PC,3,3,0,3/3,2.9433333333333334,2.546666666666667,88165533.33333333,5.489999999999999,106739160
20250916_21MeOHIPA_BrainLipidEx,PE,3,3,0,3/3,7.973333333333334,7.39,3157346.6666666665,4.52,4449080
20250916_21MeOHIPA_BrainLipidEx,PS,3,3,0,3/3,5.796666666666667,5.319999999999999,3476133.3333333335,4.13,3606160
20250916_21MeOHIPA_BrainLipidEx,TG,3,1,2,1/3,15.38,14.96,144920.0,5.37,258200
20250916_532MeOHIPAACN_BrainLipidEx,Cer,3,3,0,3/3,10.203333333333333,9.63,607240.0,3.57,676160
20250916_532MeOHIPAACN_BrainLipidEx,PC,3,3,0,3/3,7.296666666666667,6.8,41330213.333333336,5.489999999999999,41792320
20250916_532MeOHIPAACN_BrainLipidEx,PE,3,3,0,3/3,11.62,11.15,1486653.3333333333,4.52,1976200
20250916_532MeOHIPAACN_BrainLipidEx,PS,3,3,0,3/3,7.923333333333333,7.8133333333333335,1248040.0,4.13,1356680
20250916_532MeOHIPAACN_BrainLipidEx,TG,3,3,0,3/3,16.266666666666666,15.983333333333334,242533.33333333334,5.37,307080
