Date,Info,Lipid,Technical_Replicate,Operator,Project,Info2
20250916,21MeOHACN,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHACN,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHACN,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHACN,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHACN,Cer,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,Cer,3,TGL,solventmatrix,BrainLipidEx
20250916,532MeOHIPAACN,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,532MeOHIPAACN,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,532MeOHIPAACN,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,532MeOHIPAACN,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,532MeOHIPAACN,Cer,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,Cer,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,Cer,3,TGL,solventmatrix,BrainLipidEx
