Date,Info,Lipid,Technical_Replicate,Operator,Project,Info2
20250916,21MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,Cer,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PS,3,TGL,solventmatrix,BrainLipidEx
20250916,21MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PE,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PC,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,124CHCl3MeOHIPA,TG,3,TGL,solventmatrix,BrainLipidEx
20250916,12CHCl3MeOH,PC,3,TGL,solventmatrix,BrainLipidEx
